NAME,COMMON NAME,FAMILY,NATIVITY,HABIT,LOCATION and QUANTITY,ACCN #
Acanthus hungaricus,bear's breeches,Acanthaceae,Balkans,HD,"32A (3), 32 (3)",1989-0224
Acanthus mollis,bear's breeches,Acanthaceae,S Europe & NW Africa,HD,"48S (10), 45A (1)",1998-0066
Acanthus mollis,bear's breeches,Acanthaceae,S Europe & NW Africa,HD,32A (5)                                                 ,1998-0135
Acanthus mollis,bear's breeches,Acanthaceae,S Europe & NW Africa,HD,"33 (3), 34 (1)",2005-0091
Acanthus mollis,bear's breeches,Acanthaceae,S Europe & NW Africa,HD,"46A (3), 49 (3)",1997-0120
Acanthus mollis,bear's breeches,Acanthaceae,S Europe & NW Africa,HD,"32A (1), 32 (1)",1984-0431
Acanthus mollis,bear's breeches,Acanthaceae,S Europe & NW Africa,HD,"33 (6), 32A (1), 32 (4)",1996-1042
Acanthus spinosus Spinosissimus Group,bear's breeches,Acanthaceae,SE Europe,HD,"155 (3), 32B (6), 52 (3)",1991-0401
Acca sellowiana,pineapple guava,Myrtaceae,"S Brazil, Parag & Uruguay",SE,"SEAS (3), 57 (1)",1977-0367
Acca sellowiana 'Mammoth',pineapple guava,Myrtaceae,Garden Origin,SE,57 (1)                                                 ,1993-0221
Acer,maple,Sapindaceae, ,TD,121C (1)                                                 ,1990-0567
Acer,maple,Sapindaceae, ,TD,121E (1)                                                 ,1986-0232
Acer albopurpurascens,flying moth tree,Sapindaceae,Taiwan,TD,"77 (1), 121 (1)",2010-0087
Acer barbinerve,"Ussuri, bearded or red-twig Korean maple",Sapindaceae,China & Korea,TD,"121 (1), 121E (1)",2012-0217
Acer barbinerve,"Ussuri, bearded or red-twig Korean maple",Sapindaceae,China & Korea,TD,124 (1)                                                 ,1994-0614
Acer buergerianum,trident maple,Sapindaceae,E China,TD,"126D (2), 137A (1), 98 (1)",1979-1650
Acer buergerianum,trident maple,Sapindaceae,E China,TD,61A (2)                                                 ,1973-0092
Acer buergerianum 'Miyasama',trident maple,Sapindaceae,Garden Origin,TD,127B (1)                                                 ,1979-0612
Acer buergerianum ssp. ningpoense,Formosan trident maple,Sapindaceae,Taiwan,TD,127D (1)                                                 ,1992-0338
Acer campestre,"hedge maple, field maple",Sapindaceae,"Europe, N Africa & W Asia",TD,15B (1)                                                 ,1972-0328
Acer campestre,"hedge maple, field maple",Sapindaceae,"Europe, N Africa & W Asia",TD,115 (1)                                                 ,1975-0491
Acer campestre,"hedge maple, field maple",Sapindaceae,"Europe, N Africa & W Asia",TD,26A (1)                                                 ,2006-0103
Acer campestre,"hedge maple, field maple",Sapindaceae,"Europe, N Africa & W Asia",TD,79B (1)                                                 ,2010-0075
Acer capillipes,snakebark maple,Sapindaceae,Japan,TD,"124 (1), 76 (1), 93 (1), 123 (1)",1979-1572
Acer cappadocicum 'Aureum',golden Caucasian maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,1973-0395
Acer cappadocicum 'Rubrum',red Caucasian maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,1973-0400
Acer ceriferum, ,Sapindaceae,C China,TD,121C (1)                                                 ,2014-0237
Acer circinatum,vine maple,Sapindaceae,WNA,TD,NURS (3)                                                 ,2012-0172
Acer circinatum,vine maple,Sapindaceae,WNA,TD,22A (2)                                                 ,1976-0281
Acer circinatum,vine maple,Sapindaceae,WNA,TD,"NURS (2), 23B (1), 22B (1)",2012-0145
Acer circinatum,vine maple,Sapindaceae,WNA,TD,"4 (2), 118 (8)",2009-0559
Acer circinatum,vine maple,Sapindaceae,WNA,TD,"96B (6), 81A (1), 81D (1)",2017-0331
Acer circinatum,vine maple,Sapindaceae,WNA,TD,135B (3)                                                 ,2006-0001
Acer circinatum,vine maple,Sapindaceae,WNA,TD,4 (1)                                                 ,1982-1007
Acer circinatum,vine maple,Sapindaceae,WNA,TD,"135C (10), 137C (7)",1995-0777
Acer circinatum,vine maple,Sapindaceae,WNA,TD,15C (3)                                                 ,1975-0082
Acer circinatum,vine maple,Sapindaceae,WNA,TD,23B (1)                                                 ,1995-0444
Acer circinatum,vine maple,Sapindaceae,WNA,TD,117 (2)                                                 ,1989-0503
Acer circinatum,vine maple,Sapindaceae,WNA,TD,"22B (3), 24E (8), 23B (1)",1977-0533
Acer circinatum,vine maple,Sapindaceae,WNA,TD,135C (10)                                                 ,1996-0301
Acer circinatum,vine maple,Sapindaceae,WNA,TD,4 (2)                                                 ,2011-0269
Acer circinatum,vine maple,Sapindaceae,WNA,TD,24E (1)                                                 ,1976-0025
Acer circinatum [Pacific Purple] = 'JFS-Purple',vine maple,Sapindaceae,Garden Origin,TD,22A (1)                                                 ,2014-0139
Acer circinatum 'Monroe',cutleaf vine maple,Sapindaceae,Garden Origin,SD,22A (1)                                                 ,1984-0543
Acer circinatum 'Pacific Fire',red-bark vine maple,Sapindaceae,Garden Origin,TD,118 (4)                                                 ,2014-0020
Acer cissifolium,Amahogi maple,Sapindaceae,Jpn (Hokkaido to Kyushu),TD,46C (1)                                                 ,1999-0514
Acer davidii ssp. grosseri,snakebark maple,Sapindaceae,C China,TD,94 (1)                                                 ,1974-0477
Acer fabri,Faber's maple,Sapindaceae,C&E China,TD,130A (1)                                                 ,1999-0515
Acer forrestii,maple,Sapindaceae,N Yunnan (Lichiang Mts),TD,124 (1)                                                 ,1979-0659
Acer glabrum,Rocky Mountain maple,Sapindaceae,WNA,TD,118 (1)                                                 ,1979-1577
Acer glabrum ssp. interius,Rocky Mountain maple,Sapindaceae,Sask to New Mexico,TD,NURS (1)                                                 ,1997-0549
Acer glabrum var. douglasii,"Douglas maple, Rocky Mountain maple",Sapindaceae,Ala & BC to Ore & Alta,TD,117 (1)                                                 ,1997-0540
Acer glabrum var. douglasii,"Douglas maple, Rocky Mountain maple",Sapindaceae,Ala & BC to Ore & Alta,TD,"117 (1), 135C (2)",1996-0302
Acer griseum,paperbark maple,Sapindaceae,C China,TD,46E (1)                                                 ,1973-0078
Acer griseum,paperbark maple,Sapindaceae,C China,TD,"121B (2), 130D (1), 48S (1), 121C (2), 130A (1)",1982-0170
Acer griseum,paperbark maple,Sapindaceae,C China,TD,13C (1)                                                 ,2001-0066
Acer griseum,paperbark maple,Sapindaceae,C China,TD,46D (1)                                                 ,1974-0018
Acer henryi,Henry's maple,Sapindaceae,China (Hubei & Sichuan),TD,127D (1)                                                 ,1979-0778
Acer henryi,Henry's maple,Sapindaceae,China (Hubei & Sichuan),TD,122 (1)                                                 ,2011-0098
Acer japonicum 'Aconitifolium',fernleaf maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1975-0493
Acer japonicum 'Aconitifolium',fernleaf maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1973-0396
Acer japonicum 'Aconitifolium',fernleaf maple,Sapindaceae,Garden Origin,TD,123 (1)                                                 ,2017-0200
Acer japonicum 'Attaryi',full moon maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0299
Acer longipes,maple,Sapindaceae,C&SE China,TD,122 (1)                                                 ,1995-0553
Acer longipes,maple,Sapindaceae,C&SE China,TD,121E (1)                                                 ,1993-0240
Acer longipes ssp. amplum,maple,Sapindaceae,Hubei & Sichuan,TD,136 (2)                                                 ,1995-0701
Acer macrophyllum,bigleaf maple,Sapindaceae,BC to S Calif,TD,NURS (1)                                                 ,2014-0252
Acer macrophyllum,bigleaf maple,Sapindaceae,BC to S Calif,TD,NURS (1)                                                 ,2016-0223
Acer macrophyllum,bigleaf maple,Sapindaceae,BC to S Calif,TD,84 (1)                                                 ,2001-0064
Acer mandshuricum,Manchurian maple,Sapindaceae,"China, Korea & Siberia",TD,85 (1)                                                 ,1997-0130
Acer maximowiczianum,Nikko maple,Sapindaceae,C China & Japan,TD,127A (1)                                                 ,2014-0236
Acer maximowiczianum,Nikko maple,Sapindaceae,C China & Japan,TD,127D (4)                                                 ,1993-0866
Acer maximowiczianum,Nikko maple,Sapindaceae,C China & Japan,TD,122 (1)                                                 ,2014-0239
Acer monspessulanum,Montpelier maple,Sapindaceae,S&C Europe & N Africa,TD,115 (1)                                                 ,1991-0409
Acer morifolium,"mulberry-leaf maple, Yaku maple",Sapindaceae,Japan,TD,NURS (1)                                                 ,2016-0035
Acer morifolium,"mulberry-leaf maple, Yaku maple",Sapindaceae,Japan,TD,NURS (1)                                                 ,2014-0238
Acer negundo,box elder,Sapindaceae,USA & Mexico; nat in Can,TD,60 (1)                                                 ,1973-0214
Acer negundo 'Flamingo',variegated box elder,Sapindaceae,Garden Origin,TD,"159 (2), 76 (2), 117 (2)",1989-0426
Acer nipponicum,Nippon maple,Sapindaceae,Japan,TD,141 (1)                                                 ,1994-0131
Acer oblongum,flying moth tree,Sapindaceae,"China, Kashmir, Nepal, Thailand, Vietnam, Myanmar",TD,"121E (1), 74 (1), 121 (1), 123 (1), NURS (4)",1991-0410
Acer opalus var. obtusatum,Bosnian maple,Sapindaceae,"N Afr, Italy & Adriatic coast",TD,115 (1)                                                 ,1975-0187
Acer palmatum,Japanese maple,Sapindaceae,"China, Japan & Korea",TD,98 (1)                                                 ,2001-0013
Acer palmatum,Japanese maple,Sapindaceae,"China, Japan & Korea",TD,77 (1)                                                 ,1997-0447
Acer palmatum,Japanese maple,Sapindaceae,"China, Japan & Korea",TD,61 (1)                                                 ,1986-0231
Acer palmatum,Japanese maple,Sapindaceae,"China, Japan & Korea",TD,76 (2)                                                 ,1976-0043
Acer palmatum,Japanese maple,Sapindaceae,"China, Japan & Korea",TD,17 (1)                                                 ,2012-0345
Acer palmatum (Dissectum Atropurpureum Group) 'Garnet',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,76 (1)                                                 ,1975-0543
Acer palmatum (Dissectum Group) 'Filigree',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,76 (1)                                                 ,2013-0222
Acer palmatum (Dissectum Group) 'Filigree',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,94 (1)                                                 ,1993-0003
Acer palmatum (Dissectum Group) 'Seiryu',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,61 (1)                                                 ,2014-0173
Acer palmatum (Dissectum Group) 'Seiryu',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,77 (1)                                                 ,2013-0104
Acer palmatum (Dissectum Group) 'Seiryu',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,93 (1)                                                 ,1993-0019
Acer palmatum (Dissectum Group) 'Seiryu',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,121C (1)                                                 ,1991-0045
Acer palmatum (Dissectum Group) 'Sekimori',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,86 (1)                                                 ,2012-0300
Acer palmatum (Dissectum Group) 'Waterfall',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,76 (1)                                                 ,2013-0223
Acer palmatum (Dissectum Group) 'Waterfall',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,75 (1)                                                 ,1993-0888
Acer palmatum (unknown cultivar),redleaf Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1996-0555
Acer palmatum (Upright Dissectum Group) 'Red Pygmy',Japanese maple,Sapindaceae,Garden Origin,TD,52 (1)                                                 ,1975-0527
Acer palmatum 'Aka-shigitatsu-sawa',tricolor Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1987-0109
Acer palmatum 'Aka-shigitatsu-sawa',tricolor Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,2013-0124
Acer palmatum 'Aka-shime-no-uchi',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2013-0120
Acer palmatum 'Aoyagi',Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1977-0021
Acer palmatum Atropurpureum Group,red Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1973-0483
Acer palmatum Atropurpureum Group,red Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1975-0496
Acer palmatum Atropurpureum Group,red Japanese maple,Sapindaceae,Garden Origin,TD,"62 (2), 76 (3), 52 (1)",1973-0290
Acer palmatum 'Aureum',golden Japanese maple,Sapindaceae,Garden Origin,TD,141 (1)                                                 ,1986-0219
Acer palmatum 'Azuma-murasaki',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0293
Acer palmatum 'Beni-otake',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0339
Acer palmatum 'Beni-schichihenge',Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,2013-0121
Acer palmatum 'Bloodgood',red Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1996-1247
Acer palmatum 'Bloodgood',red Japanese maple,Sapindaceae,Garden Origin,TD,61 (1)                                                 ,2014-0227
Acer palmatum 'Bloodgood',red Japanese maple,Sapindaceae,Garden Origin,TD,61A (1)                                                 ,2014-0008
Acer palmatum 'Bloodgood',red Japanese maple,Sapindaceae,Garden Origin,TD,52 (1)                                                 ,1995-0477
Acer palmatum 'Butterfly',variegated Japanese maple,Sapindaceae,Garden Origin,TD,121C (1)                                                 ,1991-0040
Acer palmatum 'Crippsii',dwarf Japanese maple,Sapindaceae,Garden Origin,SD,61 (1)                                                 ,2013-0176
Acer palmatum Dissectum Atropurpureum Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,"24C (1), 57A (1), 76 (1), 35C (1)",1993-0408
Acer palmatum Dissectum Atropurpureum Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,93 (1)                                                 ,1980-0683
Acer palmatum Dissectum Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,94 (1)                                                 ,1974-0776
Acer palmatum Dissectum Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,95 (1)                                                 ,1981-0060
Acer palmatum Dissectum Group (unknown cultivar),cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,148 (1)                                                 ,1986-0084
Acer palmatum Dissectum Viride Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,76 (2)                                                 ,1972-0359
Acer palmatum Dissectum Viride Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,62 (1)                                                 ,1975-0539
Acer palmatum Dissectum Viride Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,"76 (2), 93 (1), 24C (1)",1977-0119
Acer palmatum Dissectum Viride Group,cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,76 (1)                                                 ,1982-1081
Acer palmatum 'Earthfire',red Japanese maple,Sapindaceae,Garden Origin,TD,120A (1)                                                 ,2015-0138
Acer palmatum 'Emperor 1',Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,2014-0009
Acer palmatum 'Enkan',Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,2009-0008
Acer palmatum 'H⌠gyoku',Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,2013-0122
Acer palmatum 'Hessei',red Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1975-0511
Acer palmatum 'Hoshi kuzu',dwarf Japanese maple,Sapindaceae,Garden Origin,SD,97 (1)                                                 ,1991-0041
Acer palmatum 'Inaba-shidare',red cutleaf Jap. maple,Sapindaceae,Garden Origin,SD,76 (1)                                                 ,1975-0513
Acer palmatum 'Jeddeloh Orange',red Japanese maple,Sapindaceae,Garden Origin,TD,120A (1)                                                 ,2015-0139
Acer palmatum 'Kagiri-nishiki',variegated Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1982-1080
Acer palmatum 'Ki-hachij⌠',Japanese maple,Sapindaceae,Garden Origin,TD,61A (1)                                                 ,2013-0224
Acer palmatum 'Koto-no-ito',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,96D (1)                                                 ,2016-0215
Acer palmatum 'Koto-no-ito',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,61A (1)                                                 ,2014-0159
Acer palmatum 'Koto-no-ito',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,61A (1)                                                 ,2002-0243
Acer palmatum 'Koto-no-ito',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,NURS (1)                                                 ,2013-0123
Acer palmatum 'Mikawa-yatsubusa',dwarf Japanese maple,Sapindaceae,Garden Origin,SD,121A (1)                                                 ,1991-0042
Acer palmatum 'Murasaki-kyohim',dwarf Japanese maple,Sapindaceae,Garden Origin,SD,121C (1)                                                 ,1991-0043
Acer palmatum 'Nishiki-gawa',pine bark maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1975-0548
Acer palmatum 'Nishiki-momiji',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0294
Acer palmatum 'Nuresagi',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0295
Acer palmatum 'Omurayama',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0340
Acer palmatum 'Osakazuki',Japanese maple,Sapindaceae,Garden Origin,TD,77 (1)                                                 ,1993-0909
Acer palmatum 'Osakazuki',Japanese maple,Sapindaceae,Garden Origin,TD,61A (1)                                                 ,1993-0949
Acer palmatum 'Otome-zakura',semidwarf Japanese maple,Sapindaceae,Garden Origin,TD,121C (1)                                                 ,1991-0044
Acer palmatum Palmatum Group,Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1977-0013
Acer palmatum 'Ruslyn In The Pink',Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,2009-0044
Acer palmatum 'Sango-kaku',coral-bark maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1973-0352
Acer palmatum 'Sh⌠j⌠-shidare',red cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,62 (1)                                                 ,1997-0515
Acer palmatum 'Sherwood Flame',red Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,2013-0125
Acer palmatum 'Shigitatsu-sawa',variegated Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1973-0091
Acer palmatum 'Shigitatsu-sawa',variegated Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1993-0908
Acer palmatum 'Shigitatsu-sawa',variegated Japanese maple,Sapindaceae,Garden Origin,TD,61 (1)                                                 ,1973-0349
Acer palmatum 'Shindesh⌠j⌠',red Japanese maple,Sapindaceae,Garden Origin,SD,73 (1)                                                 ,1993-0022
Acer palmatum 'Shirazz',Japanese maple,Sapindaceae,Garden Origin,TD,61 (1)                                                 ,2013-0175
Acer palmatum 'Shishigashira',lion's head Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1975-0536
Acer palmatum 'Shishigashira',lion's head Japanese maple,Sapindaceae,Garden Origin,TD,76 (2)                                                 ,1974-0319
Acer palmatum 'Suminagashi',red Japanese maple,Sapindaceae,Garden Origin,TD,61 (1)                                                 ,1975-0537
Acer palmatum 'Trompenburg',red Japanese maple,Sapindaceae,Garden Origin,TD,62T (1)                                                 ,2002-0029
Acer palmatum 'Twombly's Red Sentinel',Japanese maple,Sapindaceae,Garden Origin,TD,61A (1)                                                 ,2013-0225
Acer palmatum 'Ueno-yama',Japanese maple,Sapindaceae,Garden Origin,TD,86 (1)                                                 ,2012-0292
Acer palmatum var. dissectum 'Crimson Queen',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,62 (1)                                                 ,2009-0003
Acer palmatum var. dissectum 'Red Dragon',cutleaf Japanese maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,2009-0004
Acer palmatum var. dissectum 'Toyama-nishiki',cutleaf Japanese maple,Sapindaceae,Garden Origin,SD,86 (1)                                                 ,2012-0316
Acer palmatum 'Villa Taranto',green Japanese maple,Sapindaceae,Garden Origin,TD,90A (1)                                                 ,1999-0365
Acer palmatum Viride Group,green Japanese maple,Sapindaceae,Garden Origin,TD,75 (1)                                                 ,1990-0200
Acer palmatum Viride Group,green Japanese maple,Sapindaceae,Garden Origin,TD,62 (1)                                                 ,1975-0506
Acer pectinatum,maple,Sapindaceae,"Nepal, N Myanmar & China (Yunnan)",TD,127C (1)                                                 ,1981-0149
Acer pensylvanicum,moosewood,Sapindaceae,ENA,TD,107B (1)                                                 ,2016-0224
Acer pictum ssp. mono,painted maple,Sapindaceae,Widespread in E Asia,TD,136 (1)                                                 ,1984-0048
Acer platanoides,Norway maple,Sapindaceae,Europe to Caucasus,TD,115 (1)                                                 ,1978-0401
Acer platanoides 'Crimson King',redleaf Norway maple,Sapindaceae,Garden Origin,TD,115 (2)                                                 ,1982-0689
Acer platanoides 'Drummondii',variegated Norway maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,1979-0806
Acer platanoides 'Globosum',Norway maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,2001-0069
Acer pseudoplatanus 'Atropurpureum',sycamore maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,1979-0812
Acer pseudoplatanus 'Erythrocarpum',sycamore maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,1979-0654
Acer pseudoplatanus f. variegatum 'Leopoldii',sycamore maple,Sapindaceae,Garden Origin,TD,76 (1)                                                 ,1978-0476
Acer pseudoplatanus 'Negenia',sycamore maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,1986-0258
Acer pseudosieboldianum,Korean maple,Sapindaceae,China & Korea,TD,85 (1)                                                 ,1993-0725
Acer pycnanthum,maple,Sapindaceae,Japan,TD,46F (1)                                                 ,1985-0493
Acer rubescens,snake bark maple,Sapindaceae,Taiwan,TD,"121 (2), 130D (1)",2010-0086
Acer rubrum,red maple,Sapindaceae,Nfld to Fla to Minn & Tex,TD,46F (1)                                                 ,1978-0140
Acer rubrum,red maple,Sapindaceae,Nfld to Fla to Minn & Tex,TD,147 (1)                                                 ,1979-0785
Acer rubrum,red maple,Sapindaceae,Nfld to Fla to Minn & Tex,TD,33A (2)                                                 ,1972-0345
Acer rubrum 'Armstrong',red maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,2001-0067
Acer rubrum 'Autumn Flame',red maple,Sapindaceae,Garden Origin,TD,115 (1)                                                 ,2001-0068
Acer rubrum 'Autumn Flame',red maple,Sapindaceae,Garden Origin,TD,135A (1)                                                 ,1990-0201
Acer rubrum 'Bowhall',red maple,Sapindaceae,Garden Origin,TD,107T (1)                                                 ,1994-0060
Acer rubrum 'Morgan',hybrid maple (Cdn cv),Sapindaceae,Garden Origin,TD,107T (1)                                                 ,1994-0050
Acer rubrum 'October Glory',red maple,Sapindaceae,Garden Origin,TD,107T (1)                                                 ,1994-0061
Acer rubrum 'Red Sunset',red maple,Sapindaceae,Garden Origin,TD,107T (1)                                                 ,1996-0329
Acer rubrum 'Red Sunset',red maple,Sapindaceae,Garden Origin,TD,107T (1)                                                 ,1993-0939
