"","X","TaxonName","ItemAccNoFull","AccNoCons","ItemLocationCode","ItemSpecCount","ProvenanceCode","ItemCoordX","ItemCoordY","Family","Genus","Species","NAME","COMMON.NAME","FAMILY","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN..","X.1","genus","family","order","group","binomial","id"
"28",28,"Rhododendron morii","2000-0594.02","35972/0-0598-2000","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Rhododendron morii","2000-0594.03","35972/0-0598-2000","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"Rhododendron morii","2000-0594.04","35972/0-0598-2000","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Rhododendron morii","2000-0594.05","35972/0-0598-2000","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Rhododendron morii","2000-0594.06","35972/0-0598-2000","3AA5","1","W",NA,NA,"Ericaceae","Rhododendron","morii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Paeonia delavayi","2001-0392.01","36003/0-5491-2001","3AB1","2","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"Fragaria chiloensis","2002-0138.01","36267/0-5433-2002","1K03","1","G",NA,NA,"Rosaceae","Fragaria","chiloensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Fragaria chiloensis","2002-0152.01","36281/0-5433-2002","1K03","2","G",NA,NA,"Rosaceae","Fragaria","chiloensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"Paeonia delavayi","2001-0537.01","36495/0-0606-2001","3AB1","2","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Paeonia delavayi","2002-0461.01","36892/0-0606-2002","3AD7","3","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"Paeonia delavayi","2002-0461.02","36892/0-0606-2002","3AE6","1","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"Paeonia delavayi","2002-0462.01","36893/0-0606-2002","3AH8","6","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Paeonia delavayi","2002-0463.01","36894/0-0606-2002","3AB1","3","W",NA,NA,"Paeoniaceae","Paeonia","delavayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"Fragaria chiloensis","2003-0279.01","37004/0-1003-2003","1DP2","mass","U",NA,NA,"Rosaceae","Fragaria","chiloensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Oxalis oregana","2005-0125.01","37705/0-0999-2005","1B30","1","W",NA,NA,"Oxalidaceae","Oxalis","oregana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"Viola tricolor","2006-0270.01","38171/0-5487-2006","1F07","5","G",NA,NA,"Violaceae","Viola","tricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"Aristolochia tomentosa","2006-0300.02","38201/0-0693-2006","4C10","6","W",NA,NA,"Aristolochiaceae","Aristolochia","tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"Lewisia rediviva","2006-0432.02","38334/0-0653-2006","LCS1","2","W",NA,NA,"Montiaceae","Lewisia","rediviva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Calycanthus floridus","2007-0140.01","38500/0-0698-2007","4C06","3","G",NA,NA,"Calycanthaceae","Calycanthus","floridus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"Hydrangea quercifolia","2007-0145.01","38505/0-0698-2007","4C07","5","G",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"Polystichum setiferum","2007-0330.01","38692/0-0701-2007","2A05","2","G",NA,NA,"Dryopteridaceae","Polystichum","setiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Hydrangea quercifolia","2008-0187.01","39043/0-0698-2008","4C07","2","G",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Trillium ovatum","2009-0172.01","39418/0-0075-2009","LNA3","1","U",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"Pinus heldreichii","2010-0129.01","39712/0-5484-2010","1P05","5","G",NA,NA,"Pinaceae","Pinus","heldreichii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"Polystichum setiferum","2010-0132.01","39715/0-5484-2010","1P02","5","G",NA,NA,"Dryopteridaceae","Polystichum","setiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"Polystichum setiferum","2010-0132.02","39715/0-5484-2010","1P03","9","G",NA,NA,"Dryopteridaceae","Polystichum","setiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"Polystichum setiferum","2010-0132.03","39715/0-5484-2010","1P05","58","G",NA,NA,"Dryopteridaceae","Polystichum","setiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Fragaria chiloensis","2010-0312.01","39895/0-5720-2010","LSA1","1","G",NA,NA,"Rosaceae","Fragaria","chiloensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"Trillium ovatum","2010-0538.01","40121/0-0075-2010","1B22","1","U",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"Embothrium coccineum","2012-0141.01","41309/0-0075-2012","LSA2","1","U",NA,NA,"Proteaceae","Embothrium","coccineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"Trillium ovatum","2012-0253.01","41421/0-0055-2012","1P02","2","G",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"Trillium ovatum","2013-0140.01","41883/0-0055-2013","1B37","2","G",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"Puschkinia scilloides","2014-0156.01","42391/0-5720-2014","1P03","1","G",NA,NA,"Asparagaceae","Puschkinia","scilloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Embothrium coccineum","2015-0104.01","42789/0-0167-2015","LSA2","1","G",NA,NA,"Proteaceae","Embothrium","coccineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"Embothrium coccineum","2015-0104.02","42789/0-0167-2015","LSA2","1","G",NA,NA,"Proteaceae","Embothrium","coccineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"Embothrium coccineum","2015-0104.03","42789/0-0167-2015","LSA2","1","G",NA,NA,"Proteaceae","Embothrium","coccineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"Embothrium coccineum","2015-0104.04","42789/0-0167-2015","LSA2","1","G",NA,NA,"Proteaceae","Embothrium","coccineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"Embothrium coccineum","2015-0104.05","42789/0-0167-2015","LSA2","1","G",NA,NA,"Proteaceae","Embothrium","coccineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"Hydrangea quercifolia","2015-0144.01","42829/0-5664-2015","4C02","1","W",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"Hydrangea quercifolia","2015-0144.02","42829/0-5664-2015","4C02","1","W",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"Hydrangea quercifolia","2015-0144.03","42829/0-5664-2015","4C02","1","W",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"Hydrangea quercifolia","2015-0144.04","42829/0-5664-2015","4C03","1","W",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"Hydrangea quercifolia","2015-0144.05","42829/0-5664-2015","4C03","1","W",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"Hydrangea quercifolia","2015-0144.06","42829/0-5664-2015","4C03","1","W",NA,NA,"Hydrangeaceae","Hydrangea","quercifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"Gunnera monoica","2015-0370.01",NA,"LAA2","1","G",NA,NA,"Gunneraceae","Gunnera","monoica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"Gymnocarpium dryopteris","2015-0472.01",NA,"1B26","1","W",NA,NA,"Cystopteridaceae","Gymnocarpium","dryopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"Trillium ovatum","2017-0162.01",NA,"1G01","25","W",NA,NA,"Melanthiaceae","Trillium","ovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"Gymnocarpium dryopteris","2017-0236.01",NA,"4C10","7","W",NA,NA,"Cystopteridaceae","Gymnocarpium","dryopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"Ceratostigma minus","2018-0466.01",NA,"LAS1","3","G",NA,NA,"Plumbaginaceae","Ceratostigma","minus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"Kniphofia rooperi","2018-0734.01",NA,"LAF1","2","G",NA,NA,"Asphodelaceae","Kniphofia","rooperi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abies kawakamii","Taiwan fir","Pinaceae","Taiwan","TC","NURS (1)                                                 ","2016-0032",NA,NA,NA,NA,NA,NA,NA
"79",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abies koreana","Korean fir","Pinaceae","South Korea","TC","60 (1), 128 (2)","1979-1009",NA,NA,NA,NA,NA,NA,NA
"80",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha wilkesiana","copperleaf","Euphorbiaceae","Pacific Islands","SD","SEAS (1)                                                 ","2009-0544",NA,NA,NA,NA,NA,NA,NA
"81",426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ailanthus altissima","tree of heaven","Simaroubaceae","N Chn (& worldwide weed)","TD","122 (1)                                                 ","1983-0246",NA,NA,NA,NA,NA,NA,NA
"82",427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ailanthus altissima","tree of heaven","Simaroubaceae","N Chn (& worldwide weed)","TD","74 (7), 127D (2), 134D (4)","1982-1002",NA,NA,NA,NA,NA,NA,NA
"83",594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alstroemeria isabellana"," ","Alstroemeriaceae","South America","HD","NURS (3)                                                 ","2017-0304",NA,NA,NA,NA,NA,NA,NA
"84",649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","NURS (72)                                                 ","2015-0039",NA,NA,NA,NA,NA,NA,NA
"85",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","NURS (27)                                                 ","2015-0030",NA,NA,NA,NA,NA,NA,NA
"86",651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","NURS (27), 4 (5), 24A (10)","2011-0302",NA,NA,NA,NA,NA,NA,NA
"87",652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anaphalis margaritacea","pearly everlasting","Asteraceae","N Amer, Asia","HD","137G (6)                                                 ","2013-0211",NA,NA,NA,NA,NA,NA,NA
"88",744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","41B (3)                                                 ","2014-0184",NA,NA,NA,NA,NA,NA,NA
"89",745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","41B (3)                                                 ","1995-0607",NA,NA,NA,NA,NA,NA,NA
"90",746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","NURS (3)                                                 ","2010-0159",NA,NA,NA,NA,NA,NA,NA
"91",747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angelica archangelica","archangel","Apiaceae","Europe & Asia","HD","NURS (2), 41B (1)","2008-0245",NA,NA,NA,NA,NA,NA,NA
"92",771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apocynum cannabinum","Indian hemp","Apocynaceae","Canada & USA","HD","29 (4), 39 (1)","1992-0515",NA,NA,NA,NA,NA,NA,NA
"93",827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachniodes simplicior","variegated shield fern","Dryopteridaceae","China & Japan","HE","128 (10)                                                 ","2002-0283",NA,NA,NA,NA,NA,NA,NA
"94",828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arachniodes simplicior","variegated shield fern","Dryopteridaceae","China & Japan","HE","NURS (10), 121 (10)","2012-0223",NA,NA,NA,NA,NA,NA,NA
"95",865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arbutus unedo","strawberry tree","Ericaceae","SW Ireland to Asia Minor","SE","32A (4)                                                 ","1973-0605",NA,NA,NA,NA,NA,NA,NA
"96",866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arbutus unedo","strawberry tree","Ericaceae","SW Ireland to Asia Minor","SE","32A (3)                                                 ","1994-0455",NA,NA,NA,NA,NA,NA,NA
"97",954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aristolochia clematitis","birthwort","Aristolochiaceae","Europe, e to Caucasus","VD","80A (1), 127B (1)","1997-0722",NA,NA,NA,NA,NA,NA,NA
"98",963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armeria maritima","sea thrift, sea pink","Plumbaginaceae","Can, USA, Ice & Eurasia","HE","24A (48)                                                 ","2000-0342",NA,NA,NA,NA,NA,NA,NA
"99",964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armeria maritima","sea thrift, sea pink","Plumbaginaceae","Can, USA, Ice & Eurasia","HE","24A (36)                                                 ","2009-0617",NA,NA,NA,NA,NA,NA,NA
"100",965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armeria maritima","sea thrift, sea pink","Plumbaginaceae","Can, USA, Ice & Eurasia","HE","135C (1)                                                 ","1996-0108",NA,NA,NA,NA,NA,NA,NA
"101",1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asimina triloba","pawpaw","Annonaceae","NY to Fla & Texas","TD","107A (1)                                                 ","2012-0020",NA,NA,NA,NA,NA,NA,NA
"102",1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asimina triloba","pawpaw","Annonaceae","NY to Fla & Texas","TD","27 (2)                                                 ","1978-0364",NA,NA,NA,NA,NA,NA,NA
"103",1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Astelia banksii","coastal astelia, wharawhara","Asteliaceae","New Zealand","HE","58C (5)                                                 ","2009-0200",NA,NA,NA,NA,NA,NA,NA
"104",1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Astelia banksii","coastal astelia, wharawhara","Asteliaceae","New Zealand","HE","58 (2)                                                 ","2008-0221",NA,NA,NA,NA,NA,NA,NA
"105",1271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Azara serrata","corcolΘn, saw-toothed azara","Salicaceae","Chile","SE","59 (1)                                                 ","1999-0379",NA,NA,NA,NA,NA,NA,NA
"106",1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Billardiera heterophylla","bluebell creeper","Pittosporaceae","W Australia","VE","58C (1)                                                 ","2010-0305",NA,NA,NA,NA,NA,NA,NA
"107",1420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Billardiera heterophylla","bluebell creeper","Pittosporaceae","W Australia","VE","NURS (7)                                                 ","2003-0012",NA,NA,NA,NA,NA,NA,NA
"108",1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butia capitata","pindo palm","Arecaceae","South America","TE","NURS (1)                                                 ","2017-0232",NA,NA,NA,NA,NA,NA,NA
"109",1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","LK04 (20)                                                 ","1989-0072",NA,NA,NA,NA,NA,NA,NA
"110",1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","SEAS (1)                                                 ","2005-0044",NA,NA,NA,NA,NA,NA,NA
"111",1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","LK04 (10)                                                 ","1989-0170",NA,NA,NA,NA,NA,NA,NA
"112",1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butomus umbellatus","flowering rush","Butomaceae","Eurasia","W","LK05 (1)                                                 ","1988-0160",NA,NA,NA,NA,NA,NA,NA
"113",1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calycanthus occidentalis","western sweet shrub","Calycanthaceae","California","SD","22A (3)                                                 ","1973-0450",NA,NA,NA,NA,NA,NA,NA
"114",1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campanula patula","bell flower","Campanulaceae","Europe & W Siberia","B","50Q (17)                                                 ","1996-0591",NA,NA,NA,NA,NA,NA,NA
"115",1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canna indica","Indian shot, queensland","Cannaceae","neotrop, widely nat","HE","SEAS (1)                                                 ","2001-0347",NA,NA,NA,NA,NA,NA,NA
"116",1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carica papaya","papaya","Caricaceae","tropical America","TE","SEAS (1)                                                 ","2001-0340",NA,NA,NA,NA,NA,NA,NA
"117",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carpobrotus edulis","Hottentot fig","Aizoaceae","S Afr, widely nat","HE","SEAS (1)                                                 ","2001-0341",NA,NA,NA,NA,NA,NA,NA
"118",2047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Celtis sinensis","Japanese hackberry","Cannabaceae","China, Japan & Korea","TD","136 (1)                                                 ","1981-0144",NA,NA,NA,NA,NA,NA,NA
"119",2203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chloranthus serratus","ji ji","Chloranthaceae","China & Japan","HD","86 (5)                                                 ","2013-0237",NA,NA,NA,NA,NA,NA,NA
"120",2547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corokia cotoneaster","wire-netting bush, korokio","Argophyllaceae","New Zealand","SE","NURS (5)                                                 ","2013-0309",NA,NA,NA,NA,NA,NA,NA
"121",2603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corymbia citriodora","lemon-scented gum","Myrtaceae","E Australia","TE","NURS (1)                                                 ","2010-0160",NA,NA,NA,NA,NA,NA,NA
